1	190
1	311
1	328
1	368
1	394
1	465
1	547
1	633
1	840
1	980
2	12
2	32
2	93
2	121
2	136
2	155
2	156
2	186
2	198
2	302
2	362
2	378
2	458
2	486
2	488
2	571
2	713
2	836
2	844
2	930
2	981
3	128
3	246
3	250
3	469
3	470
3	622
3	824
4	142
4	167
4	195
4	256
4	411
4	459
4	684
4	800
4	825
4	918
4	921
4	970
5	69
5	80
5	115
5	230
5	453
5	530
5	681
5	948
5	967
6	134
6	296
6	348
6	412
6	421
6	561
6	793
6	936
7	222
7	246
7	298
7	350
7	469
7	622
7	655
7	777
7	807
7	994
8	166
8	170
8	182
8	205
8	220
8	261
8	300
8	326
8	338
8	363
8	389
8	395
8	396
8	400
8	435
8	484
8	518
8	529
8	539
8	544
8	547
8	584
8	611
8	640
8	646
8	648
8	680
8	690
8	724
8	766
8	786
8	825
8	856
9	89
9	120
9	276
9	330
9	381
9	526
9	619
9	633
9	727
9	874
9	972
10	137
10	279
10	442
10	497
10	640
10	779
10	870
11	59
11	102
11	131
11	133
11	147
11	158
11	159
11	162
11	210
11	253
11	271
11	294
11	304
11	325
11	360
11	364
11	495
11	615
11	636
11	676
11	724
11	756
11	835
12	2
12	22
12	26
12	46
12	64
12	74
12	174
12	194
12	211
12	230
12	231
12	270
12	292
12	329
12	339
12	354
12	356
12	463
12	466
12	469
12	510
12	574
12	588
12	598
12	600
12	603
12	637
12	706
12	708
12	709
12	728
12	733
12	737
12	763
12	769
12	853
12	875
12	886
12	926
12	971
12	979
12	987
13	129
13	134
13	248
13	296
13	352
13	380
13	561
13	732
13	834
13	858
13	885
13	935
13	985
14	36
14	100
14	214
14	291
14	538
14	612
14	621
14	712
14	845
14	988
15	20
15	61
15	103
15	308
15	353
15	408
15	523
15	549
15	693
15	699
15	702
15	749
15	785
15	845
16	73
16	213
16	352
16	702
16	732
16	793
16	935
17	70
17	108
17	149
17	152
17	193
17	204
17	240
17	259
17	289
17	313
17	314
17	345
17	351
17	420
17	437
17	457
17	490
17	527
17	568
17	607
17	648
17	665
17	672
17	680
17	682
17	712
17	736
17	785
17	848
17	851
17	899
18	238
18	243
18	291
18	333
18	489
18	546
18	635
18	683
18	854
18	961
18	1000
19	23
19	73
19	114
19	311
19	328
19	402
19	471
19	541
19	633
19	810
19	823
19	824
19	983
19	990
20	15
20	95
20	103
20	506
20	630
20	693
20	785
21	113
21	315
21	317
21	371
21	830
21	913
21	915
21	942
22	12
22	270
22	354
22	356
22	463
22	552
22	637
22	875
22	886
23	19
23	116
23	140
23	311
23	359
23	401
23	402
23	424
23	431
23	547
23	633
23	810
23	812
23	840
23	980
23	983
23	990
24	188
24	191
24	310
24	625
24	692
24	740
24	923
25	71
25	153
25	217
25	233
25	261
25	334
25	744
25	922
26	12
26	104
26	270
26	292
26	356
26	369
26	449
26	466
26	621
26	637
26	706
26	709
26	769
26	875
26	886
26	926
26	971
27	76
27	83
27	224
27	304
27	587
27	652
27	740
27	741
27	744
27	782
27	895
27	899
27	943
27	953
27	958
28	43
28	84
28	86
28	386
28	400
28	409
28	791
28	929
28	933
28	955
28	960
29	58
29	131
29	158
29	159
29	162
