degree distribution (degree-occurrences)
7.44309	0.123
9.42581	0.0775
11.44	0.0625
13.8226	0.0413333
16.8375	0.0266667
20.3258	0.02225
24.7143	0.0126
30.7619	0.007
37.122	0.005125
45.0571	0.00388889

--------------------------------------
community distribution (size-occurrences)
20  3
22  2
23  2
24  2
25  1
29  3
30  2
32  2
33  2
35  2
36  1
37  1
38  1
41  2
44  1
45  1
46  1
50  1
52  1

--------------------------------------
mixing parameter
0.137577	0.171
0.193662	0.503
0.237898	0.259
0.28569	0.065
0.333333	0.002
