degree distribution (degree-occurrences)
7.4139	0.1295
9.4684	0.0807
11.4555	0.0584
13.8541	0.0411333
16.9082	0.0268667
20.4309	0.0181
24.8958	0.01228
30.3424	0.00856667
37.1944	0.0054
45.8882	0.00337778

--------------------------------------
community distribution (size-occurrences)
7  22
8  11
9  6
10  6
11  22
12  7
13  4
14  14
15  7
16  7
17  8
18  2
19  3
20  8
21  6
22  4
23  3
24  5
25  3
26  4
27  6
28  4
29  4
30  3
31  5
32  5
33  2
34  2
35  4
36  2
37  5
38  2
39  3
40  5
41  3
42  3
43  4
44  4
45  3
46  2
47  1
48  3
49  2
50  1

--------------------------------------
mixing parameter
0.428571	0.0002
0.545455	0.0002
0.574048	0.0206
0.630622	0.0786
0.695127	0.671
0.73848	0.202
0.779988	0.0248
0.860714	0.002
0.888889	0.0006
